SN,TITLE,CONTENT_link,DATE,VOTE
192196.0,결혼식 직계 원판사진만이라도 마스크 착용 의무화 해지 해 주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192196,2022-03-03 01:23:53.0,6.0
192195.0,서울시 개인택시 부제를 해제 해 주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192195,2022-03-02 10:26:26.0,572.0
192193.0,화곡본동1구역 3080+ 도심공공주택 복합사업에 선정될수 있도록 지원요청 합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192193,2022-03-01 12:50:26.0,44.0
192191.0,노을공원 캠핑장 주차장 경차 할인,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192191,2022-02-28 15:55:09.0,1.0
192188.0,"후보지선정에서 소외된 화곡본동 1구역, 3080+도심공공주택복합사업 선정해주세요.",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192188,2022-02-27 13:36:27.0,195.0
192172.0,장애아동을 위한 전용 미용(헤어컷)시설 설치를 제안합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192172,2022-02-22 14:54:13.0,31.0
192171.0,국토교통부 3080+ 도심 공공주택 복합사업에 서울시의 협조가 필요합니다. 낙후된 화곡동의 개발을 도와주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192171,2022-02-22 11:10:54.0,16.0
192170.0,공감합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192170,2022-02-22 10:55:01.0,1.0
192169.0,"약탈적,매국노적,망국적 헐값 택시요금정책 포기해 줄 것을 제안합니다..",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192169,2022-02-22 01:26:04.0,2.0
192168.0,뮤직비디오 촬영 문의드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192168,2022-02-22 00:35:18.0,1.0
192167.0,국토교통부 3080+ 도심 공공주택 복합사업에 서울시의 협조가 필요합니다. 낙후된 화곡동의 개발을 도와주세요.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192167,2022-02-21 18:14:07.0,187.0
192163.0,삶의 질 항상,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192163,2022-02-21 06:35:15.0,1.0
192162.0,08~18시 공사시간 조례로규정 하여 기본권보장해 주십시오,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192162,2022-02-21 03:57:03.0,22.0
192158.0,신분당선-경의중앙선 연계를 통한 도심공원 활성화 및 지역연결 복원,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192158,2022-02-20 11:04:18.0,103.0
192149.0,전기 버스를 경사가 심하고 도로 한쪽에만 반사형 방음벽이 존재하는 노선에 최우선 투입하는 것을 제도화 요청합니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192149,2022-02-18 10:33:44.0,27.0
192146.0,청년 주거,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192146,2022-02-17 08:18:47.0,5.0
192140.0,서울페이 불편해요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192140,2022-02-14 14:51:45.0,1.0
192135.0,서울시 부족한 강아지 공원에 대한 제안입니다!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192135,2022-02-12 02:06:03.0,57.0
192134.0,강남구 역삼동 언주로69길  주차구획 삭선요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192134,2022-02-11 15:52:36.0,1.0
192133.0,강남역 사거리  횡단보도 설치 하자,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192133,2022-02-11 01:30:13.0,4.0
192128.0,관공서나 마트에  반려동물 쉼터나 보호소 마련이 시급합니다!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192128,2022-02-10 10:55:12.0,2.0
